2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Original creado.
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Original:
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Candidato creado.
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Subsistema creado.
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Iniciando análisis multivariante GeoMIP (K=[2..5]).
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Nivel 1: 15 estados procesados.
2026-05-17 18:59:30 [sia_preparation] CRITICAL Process-30: Nivel 2: 105 estados procesados.
2026-05-17 18:59:31 [sia_preparation] CRITICAL Process-30: Nivel 3: 455 estados procesados.
2026-05-17 18:59:32 [sia_preparation] CRITICAL Process-30: Nivel 4: 1365 estados procesados.
2026-05-17 18:59:34 [sia_preparation] CRITICAL Process-30: Nivel 5: 3003 estados procesados.
2026-05-17 18:59:40 [sia_preparation] CRITICAL Process-30: Nivel 6: 5005 estados procesados.
2026-05-17 18:59:43 [sia_preparation] CRITICAL Process-30: Nivel 7: 6435 estados procesados.
2026-05-17 19:02:02 [sia_preparation] CRITICAL Process-30: Nivel 8: 6435 estados procesados.
2026-05-17 19:02:06 [sia_preparation] CRITICAL Process-30: Nivel 9: 5005 estados procesados.
2026-05-17 19:02:08 [sia_preparation] CRITICAL Process-30: Nivel 10: 3003 estados procesados.
2026-05-17 19:02:09 [sia_preparation] CRITICAL Process-30: Nivel 11: 1365 estados procesados.
2026-05-17 19:02:10 [sia_preparation] CRITICAL Process-30: Nivel 12: 455 estados procesados.
2026-05-17 19:02:10 [sia_preparation] CRITICAL Process-30: Nivel 13: 105 estados procesados.
2026-05-17 19:02:10 [sia_preparation] CRITICAL Process-30: Nivel 14: 15 estados procesados.
2026-05-17 19:02:10 [sia_preparation] CRITICAL Process-30: Nivel 15: 1 estados procesados.
2026-05-17 19:02:10 [sia_preparation] CRITICAL Process-30: ⚡ ADA-PODA ACTIVA (N=8): Pre-evaluando cortes analíticamente con Tabla T.
